timestamp,precip_expected_mm
2026-04-15 12:00:00+00:00,2.540000037849048
2026-04-15 18:00:00+00:00,4.572000181675024
2026-04-16 00:00:00+00:00,18.288000726699842
2026-04-16 06:00:00+00:00,3.55600001513967
2026-04-16 12:00:00+00:00,1.015999977290622
2026-04-16 18:00:00+00:00,0.0
2026-04-17 00:00:00+00:00,0.0
2026-04-17 06:00:00+00:00,0.0
2026-04-17 12:00:00+00:00,0.0
2026-04-17 18:00:00+00:00,0.253999994322658
2026-04-18 00:00:00+00:00,2.540000037849048
2026-04-18 06:00:00+00:00,5.587999969720914
2026-04-18 12:00:00+00:00,0.0
2026-04-18 18:00:00+00:00,0.0
2026-04-19 00:00:00+00:00,0.0
2026-04-19 06:00:00+00:00,0.0
2026-04-19 12:00:00+00:00,0.0
2026-04-19 18:00:00+00:00,0.0
2026-04-20 00:00:00+00:00,0.0
2026-04-20 06:00:00+00:00,0.0
2026-04-20 12:00:00+00:00,0.0
2026-04-20 18:00:00+00:00,0.0
2026-04-21 00:00:00+00:00,0.0
2026-04-21 06:00:00+00:00,0.0
2026-04-21 12:00:00+00:00,0.0
2026-04-21 18:00:00+00:00,0.0
2026-04-22 00:00:00+00:00,0.0
2026-04-22 06:00:00+00:00,0.0
2026-04-22 12:00:00+00:00,0.0
2026-04-22 18:00:00+00:00,0.0
2026-04-23 00:00:00+00:00,0.0
